model,origin,child_asin,colour,size,y_units,pred,lo,hi
xgboost,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,16.342458724975586,12.299878120422363,30.711233139038086
lightgbm,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,10.90788654181944,7.299084802479756,50.26495501095378
lightgbm,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,7.887372014912203,4.347783270192908,39.7060757727256
lightgbm,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,10.634440902921066,7.373391853470711,42.27501905477912
gompertz,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,14.593002780007158,7.5875912654957895,27.313147212098198
gompertz,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,0.0,0.0,2.9480839979519953
gompertz,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,5.624005400824522,2.1868988650918313,12.76807028009912
logistic,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,14.136484055207642,7.3815785248554535,26.335322203821566
logistic,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,0.0,0.0,2.9335924291431477
logistic,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,6.2742801413099745,2.5995576104480738,13.700459695565135
bass,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,14.005171996038568,7.324275740683925,26.048021190634085
bass,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,0.13435354123418522,0.0,3.456748260185045
bass,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,6.498282200819751,2.7431845534222146,14.020428504313841
hier_bayes,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,49.0751621475921,13.0,97.0
hier_bayes,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,17.965570567888197,4.0,36.0
hier_bayes,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,24.78241601181812,5.0,49.0
knn_lookalike,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,87.66776359460823,60.558813552124846,126.61816710378935
knn_lookalike,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,29.605645220807492,10.447537525802861,74.1050117878704
knn_lookalike,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,61.28717160362757,16.22410001589127,176.60354502749604
matrix_factorisation,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,42.360469036444705,25.980196515916884,68.6855663727765
matrix_factorisation,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,23.558475524904914,13.806248408635849,39.73406736547664
matrix_factorisation,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,23.939856883900024,14.052711730380263,40.321223214157875
cluster_pool,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,60.5,21.67244582926522,165.82143728480924
cluster_pool,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,11.5,3.3556454946295986,34.872983738610586
cluster_pool,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,17.0,5.412593213961541,49.52558133495585
ensemble,2022-03-04,B09P8LYKWJ,Textured - Natural Linen Look Slub,Queen,85.0,16.97031732791487,0.47875443648111915,60.746545905890116
ensemble,2022-03-04,B09P8MJ4TK,Textured - Natural Linen Look Slub,Oversized King,81.0,14.664926420687534,0.0,52.68294654449981
ensemble,2022-03-04,B09P8N2DN6,Textured - Natural Linen Look Slub,King,173.0,16.761611465413104,0.5380070435490527,54.64573357764399
heuristic,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,27.77641196013289,6.976088861181468,102.8205440926618
heuristic,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,21.47403986710964,5.187356577469006,80.63138193581241
heuristic,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,22.201973421926912,5.393979949320623,83.19350309801986
naive_family,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,21.627118644067796,2.1526327227903614,161.39966502649474
naive_family,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,12.515151515151516,0.8569253042875713,97.36654175359062
naive_family,2022-09-27,B0B7SDK5NS,Stripe - White,King,49.0,219.85416666666666,30.313211804885384,1556.6991347281037
size_ratio,2022-09-27,B0B7SB12KQ,Stripe - Charcoal Gray,Queen,50.0,16.703999999999997,3.119843159054321,75.07853112348718
size_ratio,2022-09-27,B0B7SB3KKW,Stripe - Charcoal Gray,King,36.0,9.292499999999997,1.3321443691073707,44.424098805061035
